tour_code,tour_slug,day_number,title,location,description,flight_id,drive_time_notes,attraction_codes
ADTF,afghanistan-discovery-tour-fall,1,Arrival & Orientation,Kabul,"Airport pickup, hotel check-in, and a relaxed orientation Sightseeing depending on arrival time.",,Short city transfers.,KBL-013;KBL-004;KBL-015;KBL-003
ADTF,afghanistan-discovery-tour-fall,2,Drive Kabul–Panjshir,Kabul,Drive from Kabul to Panjshir via Parwan. Sightseeing on the way in and out of the valley with optional hike in the valley.,,Drive times vary; conditions may affect timing.,PJR-001;PJR-002;PRW-002;KBL-016
ADTF,afghanistan-discovery-tour-fall,3,Drive Kabul–Bamyan,Bamyan,Drive from Kabul to Bamyan via Parwan or Wardak depending on road conditions. Sightseeing depending on travel times on the way into Bamyan.,,Drive times vary; conditions may affect timing.,BMY-001;BMY-002;BMY-003
ADTF,afghanistan-discovery-tour-fall,4,Band-e-Amir National Park,Bamyan,Depart early morning for a day trip to see Band-e-Amir National Park.,,Drive times vary; conditions may affect timing.,BMY-004
ADTF,afghanistan-discovery-tour-fall,5,Drive Bamyan-Ghazni,Ghazni,Drive from Bamyan to Ghazni via Wardak. Sightseeing depending on travel times on the way into Ghazni.,,Drive times vary; conditions may affect timing.,WRD-001;GHZ-001
ADTF,afghanistan-discovery-tour-fall,6,Ghazni Sightseeing,Ghazni,A day of sightseeing in Ghazni.,,Short city transfers.,GHZ-002;GHZ-003;GHZ-004;GHZ-005
ADTF,afghanistan-discovery-tour-fall,7,Drive Ghazni-Kabul,Kabul,"Drive from Ghazni. Sightseeing in Kabul, depending on travel times.",,Drive times vary; conditions may affect timing.,KBL-001;KBL-002;KBL-003;KBL-006
ADTF,afghanistan-discovery-tour-fall,8,Sightseeing Kabul,Kabul,A day of sightseeing in Kabul.,,Short city transfers.,KBL-015;KBL-009;KBL-005;KBL-007
ADTF,afghanistan-discovery-tour-fall,9,Airport Transfer - Depart from Kabul,Kabul,"Hotel check-out and Airport Drop-off, departing flights from Kabul.",,Short city transfers.,
ADTS,afghanistan-discovery-tour-spring,1,Arrival & Orientation,Kabul,"Airport pickup, hotel check-in, and a relaxed orientation Sightseeing depending on arrival time.",,Short city transfers.,KBL-004;KBL-003;KBL-015;KBL-013
ADTS,afghanistan-discovery-tour-spring,2,Drive Kabul–Panjshir,Kabul,Drive from Kabul to Panjshir via Parwan. Sightseeing on the way in and out of the valley with optional hike in the valley.,,Drive times vary; conditions may affect timing.,KBL-016;PJR-001;PJR-002;PRW-002
ADTS,afghanistan-discovery-tour-spring,3,Drive Kabul–Bamyan,Bamyan,Drive from Kabul to Bamyan via Parwan or Wardak depending on road conditions. Sightseeing depending on travel times on the way into Bamyan.,,Drive times vary; conditions may affect timing.,BMY-003;BMY-002;BMY-001
ADTS,afghanistan-discovery-tour-spring,4,Band-e-Amir National Park,Bamyan,Depart early morning for a day trip to see Band-e-Amir National Park.,,Drive times vary; conditions may affect timing.,BMY-004
ADTS,afghanistan-discovery-tour-spring,5,Drive Bamyan-Ghazni,Ghazni,Drive from Bamyan to Ghazni via Wardak. Sightseeing depending on travel times on the way into Ghazni.,,Drive times vary; conditions may affect timing.,WRD-001;GHZ-002
ADTS,afghanistan-discovery-tour-spring,6,Ghazni Sightseeing,Ghazni,A day of sightseeing in Ghazni.,,Short city transfers.,GHZ-001;GHZ-003;GHZ-004;GHZ-005
ADTS,afghanistan-discovery-tour-spring,7,Drive Ghazni-Kabul,Kabul,"Drive from Ghazni. Sightseeing in Kabul, depending on travel times.",,Drive times vary; conditions may affect timing.,KBL-015;KBL-009;KBL-005;KBL-007
ADTS,afghanistan-discovery-tour-spring,8,Sightseeing Kabul,Kabul,A day of sightseeing in Kabul.,,Short city transfers.,KBL-001;KBL-002;KBL-003;KBL-006
ADTS,afghanistan-discovery-tour-spring,9,Airport Transfer - Depart from Kabul,Kabul,"Hotel check-out and Airport Drop-off, departing flights from Kabul.",,Short city transfers.,
BSKI,bamyan-skiing-tour,1,Arrival & Orientation,Kabul,"Airport pickup, hotel check-in, and a relaxed orientation Sightseeing depending on arrival time.",,Short city transfers.,KBL-015;KBL-009;KBL-001;KBL-002;KBL-005;KBL-007
BSKI,bamyan-skiing-tour,2,Drive Kabul–Bamyan,Bamyan,Drive from Kabul to Bamyan via Parwan or Wardak depending on road conditions. Sightseeing depending on travel times on the way into Bamyan.,,Drive times vary; conditions may affect timing.,BMY-003;BMY-002;BMY-001
BSKI,bamyan-skiing-tour,3,Ski Bamyan slopes,Bamyan,Depart early morning for the slopes with guides for a day of backcountry skiing.,,Drive times vary; conditions may affect timing.,BMY-005
BSKI,bamyan-skiing-tour,4,Return to Kabul,Kabul,Drive from Bamyan to Kabul via Parwan or Wardak depending on road conditions. Sightseeing depending on travel times on the way into Kabul.,,Drive times vary; conditions may affect timing.,KBL-006
BSKI,bamyan-skiing-tour,5,Airport Transfer - Depart from Kabul,Kabul,"Hotel check-out and Airport Drop-off, departing flights from Kabul.",,Short city transfers.,
BUZE,buzkashi-expedition,1,Arrival & Orientation,Kabul,"Airport pickup, hotel check-in, and a relaxed orientation Sightseeing depending on arrival time.",,Short city transfers.,KBL-013;KBL-007
BUZE,buzkashi-expedition,2,Sightseeing Kabul,Kabul,A day of sightseeing in Kabul.,,Drive times vary; conditions may affect timing.,KBL-004;KBL-015
